"regime","regime_label","alpha_nominal","N","M","Q","statistic","n_phi","coverage_phi_000","coverage_phi_050","coverage_phi_080","coverage_phi_090","coverage_phi_095","coverage_range","coverage_sd_across_phi","coverage_slope_per_unit_phi","drop_phi000_to_095","drop_phi050_to_095","mean_absolute_coverage_error","max_absolute_coverage_error","normalized_length_phi_000","normalized_length_phi_050","normalized_length_phi_080","normalized_length_phi_090","normalized_length_phi_095","normalized_length_range","normalized_length_slope_per_unit_phi"
"alpha_1_3","M = N^(1/3)",0.333333333333333,64,4,16,"raw",20,0.92445,0.86366,0.70081,0.53549,0.37986,0.54459,0.145958119222965,-0.418209172932331,-0.54459,-0.4838,0.1403875,0.57014,0.9716695004109,0.800638715224887,0.547017462449127,0.381567725605902,0.25821400716562,0.713455493245281,-0.649761807819566
"alpha_1_3","M = N^(1/3)",0.333333333333333,64,4,16,"K_asym_full",20,0.93669,0.8618,0.6496,0.43373,0.25118,0.68551,0.186296672840872,-0.534508270676691,-0.68551,-0.61062,0.159082,0.69882,1.0220897971286,0.796393591163921,0.487597756691324,0.296811978461935,0.165687331913274,0.85640246521533,-0.797625337623169
"alpha_1_3","M = N^(1/3)",0.333333333333333,64,4,16,"K_leading",20,0.93669,0.88115,0.72314,0.55657,0.39617,0.54052,0.143946660891603,-0.407622706766918,-0.54052,-0.48498,0.1233415,0.55383,1.0220897971286,0.842124505154059,0.575140469355464,0.400957524651077,0.271198373933434,0.750891423195169,-0.683895813246136
"alpha_1_3","M = N^(1/3)",0.333333333333333,64,4,16,"V_oracle",20,0.92445,0.91924,0.89692,0.851,0.76883,0.15718,0.0371796816150972,-0.0849111278195488,-0.15562,-0.15041,0.0438375,0.18117,0.9716695004109,0.960006471930789,0.904983106805402,0.804652533289457,0.653731893487508,0.317937606923392,-0.181499787090472
"alpha_1_3","M = N^(1/3)",0.333333333333333,64,4,16,"V_feasible",20,0.92182,0.89818,0.76633,0.60146,0.43666,0.48698,0.128395225229921,-0.339665413533835,-0.48516,-0.46152,0.1068175,0.51334,0.992353903709973,0.897840294248165,0.634811606542069,0.445914598233355,0.302327234834653,0.690026668875321,-0.604005382768197
"alpha_1_3","M = N^(1/3)",0.333333333333333,64,4,16,"VK_asym_full_oracle",20,0.93669,0.91768,0.86204,0.76062,0.5998,0.33691,0.0809248523078827,-0.196719398496241,-0.33689,-0.31788,0.060945,0.3502,1.0220897971286,0.954914531362601,0.808360043712215,0.636249836075218,0.444156777449515,0.577933019679088,-0.413391594598458
"alpha_1_3","M = N^(1/3)",0.333333333333333,64,4,16,"VK_leading_oracle",20,0.93669,0.93135,0.91126,0.86567,0.78317,0.15462,0.0364665672406355,-0.0823939849624059,-0.15352,-0.14818,0.0312,0.16683,1.0220897971286,1.00972648462165,0.950062740960034,0.840779446482332,0.678033599889142,0.344056197239461,-0.196571298668039
"alpha_1_3","M = N^(1/3)",0.333333333333333,64,4,16,"VK_asym_full_feasible",20,0.93423,0.89683,0.71458,0.49431,0.29086,0.64402,0.171827825787143,-0.461397293233083,-0.64337,-0.60597,0.126559,0.65914,1.04757796318425,0.892944049731692,0.565163918084601,0.346469276801885,0.193882597912247,0.853695365271999,-0.773862079662052
"alpha_1_3","M = N^(1/3)",0.333333333333333,64,4,16,"F_feasible_leading",20,0.93423,0.91224,0.78751,0.62373,0.45547,0.48043,0.125736364747833,-0.328745563909774,-0.47876,-0.45677,0.091141,0.49453,1.04757796318425,0.945748266223806,0.667783606316113,0.468642396502767,0.317507051761213,0.730070911423032,-0.639907109256869
"alpha_1_2","M = N^(1/2)",0.5,64,8,8,"raw",20,0.88069,0.8513,0.75503,0.62146,0.46754,0.41315,0.104629823426512,-0.275656691729323,-0.41315,-0.38376,0.1396115,0.48246,0.893287563909485,0.811544308529973,0.635487690371724,0.471668790336111,0.329334888215886,0.563952675693599,-0.449099525734341
"alpha_1_2","M = N^(1/2)",0.5,64,8,8,"K_asym_full",20,0.90722,0.86438,0.72594,0.53118,0.32552,0.5817,0.148650953593344,-0.393812932330827,-0.5817,-0.53886,0.143856,0.62448,0.985343484991311,0.845786677300184,0.592043016483372,0.382011434212368,0.219105207037806,0.766238277953505,-0.645289796177527
"alpha_1_2","M = N^(1/2)",0.5,64,8,8,"K_leading",20,0.90722,0.88136,0.79371,0.66289,0.5073,0.39992,0.100361677006609,-0.259350676691729,-0.39992,-0.37406,0.107763,0.4427,0.985343484991311,0.895158384717557,0.700725965494788,0.519721412269498,0.362572136189435,0.622771348801876,-0.495927485596101
"alpha_1_2","M = N^(1/2)",0.5,64,8,8,"V_oracle",20,0.88069,0.87537,0.84933,0.79734,0.70721,0.17439,0.0412413034245754,-0.0942702255639098,-0.17348,-0.16816,0.0906335,0.24279,0.893287563909485,0.875598832221184,0.818326714586536,0.720798092923921,0.579636434549519,0.313651129359966,-0.185787618345407
"alpha_1_2","M = N^(1/2)",0.5,64,8,8,"V_feasible",20,0.87665,0.86867,0.79578,0.67143,0.51713,0.36005,0.0900370609716968,-0.21467969924812,-0.35952,-0.35154,0.120517,0.43287,0.913704211871507,0.874075627897757,0.708888411682589,0.531065493228108,0.371947059997692,0.541757151873815,-0.399680475536738
"alpha_1_2","M = N^(1/2)",0.5,64,8,8,"VK_asym_full_oracle",20,0.90722,0.88699,0.82631,0.7237,0.56627,0.34095,0.0821229963690535,-0.20293954887218,-0.34095,-0.32072,0.093412,0.38373,0.985343484991311,0.911950473966233,0.765703922360443,0.599217019203135,0.416891265633875,0.568452219357436,-0.41286067972014
"alpha_1_2","M = N^(1/2)",0.5,64,8,8,"VK_leading_oracle",20,0.90722,0.90145,0.87712,0.82538,0.7332,0.1751,0.0412159938647991,-0.0933066165413533,-0.17402,-0.16825,0.0637634999999999,0.2168,0.985343484991311,0.96417511852052,0.895376754113448,0.779981963478326,0.61750977047916,0.367833714512151,-0.220382950761071
"alpha_1_2","M = N^(1/2)",0.5,64,8,8,"VK_asym_full_feasible",20,0.90432,0.8811,0.76849,0.58119,0.36538,0.53894,0.135376151031701,-0.335688872180451,-0.53894,-0.51572,0.1250845,0.58462,1.01453810783677,0.911896850747118,0.660587653314205,0.430967154878093,0.248459380477394,0.766078727359379,-0.616591308713429
